Year,Tm_Full_Name,Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
2024,Arizona Diamondbacks,ARI,50,4.86,0.682,162,1458,1096,12990,5848,4330,1456,62,138,0.989,-9,-1,13,2,4
2023,Arizona Diamondbacks,ARI,53,4.7,0.695,162,1458,1071,12918,5761,4306,1399,56,134,0.99,43,4,46,0,9
2022,Arizona Diamondbacks,ARI,57,4.57,0.704,162,1458,1097,12870,5746,4290,1370,86,134,0.985,29,3,55,-1,-3
2021,Arizona Diamondbacks,ARI,64,5.51,0.685,162,1458,1030,12756,5726,4252,1374,100,113,0.983,-20,-2,-37,0,-1
2020,Arizona Diamondbacks,ARI,45,4.92,0.689,60,540,430,4665,2064,1555,474,35,54,0.983,3,1,0,-1,0
2019,Arizona Diamondbacks,ARI,44,4.59,0.692,162,1458,1005,13185,6042,4395,1561,86,136,0.986,52,5,91,3,9
2018,Arizona Diamondbacks,ARI,49,3.98,0.698,162,1458,1119,13167,6150,4389,1686,75,152,0.988,28,3,125,7,14
2017,Arizona Diamondbacks,ARI,45,4.07,0.687,162,1458,1090,12969,6035,4323,1604,108,140,0.982,-3,0,21,2,3
2016,Arizona Diamondbacks,ARI,50,5.49,0.665,162,1458,1105,13062,6118,4354,1663,101,143,0.983,-31,-3,-24,2,11
2015,Arizona Diamondbacks,ARI,50,4.4,0.693,162,1458,1107,13200,6183,4400,1697,86,146,0.986,38,3,60,3,9
2014,Arizona Diamondbacks,ARI,52,4.58,0.673,162,1458,1209,12999,6079,4333,1645,101,147,0.983,0,0,17,1,-1
2013,Arizona Diamondbacks,ARI,44,4.29,0.697,162,1458,1161,13455,6293,4485,1733,75,135,0.988,38,3,69,0,-7
2012,Arizona Diamondbacks,ARI,48,4.25,0.685,162,1458,1206,12903,6067,4301,1676,90,146,0.985,-15,-1,,0,6
2011,Arizona Diamondbacks,ARI,51,4.09,0.701,162,1458,1202,12990,6024,4330,1604,90,131,0.985,27,3,,5,5
2010,Arizona Diamondbacks,ARI,48,5.16,0.689,162,1458,1152,12888,5970,4296,1572,102,152,0.983,27,3,,1,-3
2009,Arizona Diamondbacks,ARI,45,4.83,0.683,162,1458,1131,13029,6073,4343,1606,124,133,0.98,-7,-1,,0,-21
2008,Arizona Diamondbacks,ARI,41,4.36,0.685,162,1458,1141,12912,5982,4304,1565,113,137,0.981,-24,-2,,0,-14
2007,Arizona Diamondbacks,ARI,47,4.52,0.691,162,1458,1089,12969,6064,4323,1635,106,157,0.983,40,4,,4,5
2006,Arizona Diamondbacks,ARI,45,4.86,0.685,162,1458,1151,13137,6259,4379,1776,104,172,0.983,12,1,,0,-1
2005,Arizona Diamondbacks,ARI,43,5.28,0.683,162,1458,1093,13107,6257,4369,1794,94,159,0.985,-25,-2,,0,-2
