TEAM,LEAGUE,CITY,NICKNAME,TEAM_FULL_NAME,FIRST,LAST
ACY,ECL,Atlantic City,Bacharach Giants,Atlantic City Bacharach Giants,1916,1929
AGS,,Augie Galan,All Stars,Augie Galan All Stars,1944,1944
AKR,,Akron,Grays,Akron Grays,1933,1933
ALS,,American League,All Stars,American League All Stars,1926,1935
ALT,UA,Altoona,Mountain Citys,Altoona Mountain Citys,1884,1884
ANA,AL,Anaheim,Angels,Anaheim Angels,1997,1991
ARI,NL,Arizona,Diamondbacks,Arizona Diamondbacks,1998,2023
ASB,,Baltimore,All Stars,Baltimore All Stars,1927,1932
ASC,,Max Carey,All Stars,Max Carey All Stars,1930,1931
ASD,,Dizzy Dean,All Stars,Dizzy Dean All Stars,1934,1942
ASE,,East,All Stars,East All Stars,1933,1948
ASF,,Bob Feller,All Stars,Bob Feller All Stars,1945,1947
ASG,,Lefty Grove,All Stars,Lefty Grove All Stars,1930,1930
ASL,,Lou Gehrig,All Stars,Lou Gehrig All Stars,1929,1929
ASO,,Steve O'Neill,All Stars,Steve O'Neill All Stars,1931,1931
ASP,,Satchel Paige,All-Stars,Satchel Paige All-Stars,1946,1946
AST,,Taylor,All Stars,Taylor All Stars,1940,1940
ASW,,West,All Stars,West All Stars,1933,1948
ATL,NL,Atlanta,Braves,Atlanta Braves,1966,2023
ATN,,Atlanta,Black Crackers,Atlanta Black Crackers,1932,1939
BAL,AL,Baltimore,Orioles,Baltimore Orioles,1954,2023
BCG,,Baltimore,Colored Giants,Baltimore Colored Giants,1943,1943
BFA,NN2,Buffalo,Black Aces,Buffalo Black Aces,1938,1938
BFN,NL,Buffalo,Bisons,Buffalo Bisons,1879,1885
BFP,PL,Buffalo,Bisons,Buffalo Bisons,1890,1890
BIR,NNL;NAL,Birmingham,Black Barons,Birmingham Black Barons,1923,1948
BKB,,Brooklyn,Bushwicks,Brooklyn Bushwicks,1934,1934
BL1,NA,Baltimore,Lord Baltimores,Baltimore Lord Baltimores,1872,1874
BL2,AA,Baltimore,Orioles,Baltimore Orioles,1882,1889
BL3,AA,Baltimore,Orioles,Baltimore Orioles,1890,1891
BL4,NA,Baltimore,Marylands,Baltimore Marylands,1873,1873
BLA,AL,Baltimore,Orioles,Baltimore Orioles,1901,1902
BLF,FL,Baltimore,Terrapins,Baltimore Terrapins,1914,1915
BLG,NN2,Baltimore,Elite Giants,Baltimore Elite Giants,1938,1948
BLN,NL,Baltimore,Orioles,Baltimore Orioles,1892,1899
BLS,ECL;ANL,Baltimore,Black Sox,Baltimore Black Sox,1920,1934
BLU,UA,Baltimore,Monumentals,Baltimore Monumentals,1884,1884
BOS,AL,Boston,Red Sox,Boston Red Sox,1901,2023
BR1,NA,Brooklyn,Eckfords,Brooklyn Eckfords,1872,1872
BR2,NA,Brooklyn,Atlantics,Brooklyn Atlantics,1872,1875
BR3,AA,Brooklyn,Dodgers,Brooklyn Dodgers,1884,1889
BR4,AA,Brooklyn,Gladiators,Brooklyn Gladiators,1890,1890
BRF,FL,Brooklyn,Tip-Tops,Brooklyn Tip-Tops,1914,1915
BRG,ECL,Brooklyn,Royal Giants,Brooklyn Royal Giants,1904,1937
BRN,NN2,Brooklyn,Eagles,Brooklyn Eagles,1935,1936
BRO,NL,Brooklyn,Dodgers,Brooklyn Dodgers,1890,1957
BRP,PL,Brooklyn,Wonders,Brooklyn Wonders,1890,1890
BRS,,Babe Ruth,All Stars,Babe Ruth All Stars,1935,1935
BS1,NA,Boston,Braves,Boston Braves,1871,1875
BS2,AA,Boston,Reds,Boston Reds,1891,1891
BSN,NL,Boston,Braves,Boston Braves,1876,1952
BSP,PL,Boston,Reds,Boston Reds,1890,1890
BSU,UA,Boston,Reds,Boston Reds,1884,1884
BUF,FL,Buffalo,Blues,Buffalo Blues,1914,1915
CAG,NN1;NSL;NN2;NAL,Chicago,American Giants,Chicago American Giants,1911,1948
CAL,AL,California,Angels,California Angels,1965,1996
CB1,NN1,Columbus,Buckeyes,Columbus Buckeyes,1921,1921
CB2,NN2,Columbus,Bluebirds,Columbus Bluebirds,1933,1933
CB3,NN2,Columbus,Elite Giants,Columbus Elite Giants,1935,1935
CCA,NAL,Cincinnati-Cleveland,Bears,Cincinnati-Cleveland Bears,1942,1942
CDA,,Chuck Dressen,All Stars,Chuck Dressen All Stars,1945,1945
CG1,NN1,Chicago,Giants,Chicago Giants,1910,1921
CH1,NA,Chicago,White Stockings,Chicago White Stockings,1871,1871
CH2,NA,Chicago,White Stockings,Chicago White Stockings,1874,1875
CHW,AL,Chicago,White Sox,Chicago White Sox,1901,2023
CHF,FL,Chicago,Whales,Chicago Whales,1914,1915
CHM,,Chicago,Mills,Chicago Mills,1934,1935
CHC,NL,Chicago,Cubs,Chicago Cubs,1876,2023
CHP,PL,Chicago,Pirates,Chicago Pirates,1890,1890
CHU,UA,Chicago-Pittsburgh,Browns,Chicago-Pittsburgh Browns,1884,1884
CI1,NAL,Cincinnati,Tigers,Cincinnati Tigers,1937,1937
CI2,NAL,Cincinnati,Clowns,Cincinnati Clowns,1942,1943
CIA,NAL,Cincinnati-Indianapolis,Clowns,Cincinnati-Indianapolis Clowns,1944,1945
CIN,NL,Cincinnati,Reds,Cincinnati Reds,1890,2023
CL1,NA,Cleveland,Forest Cities,Cleveland Forest Cities,1871,1872
CL2,NL,Cleveland,Spiders,Cleveland Spiders,1879,1884
CL3,AA,Cleveland,Spiders,Cleveland Spiders,1887,1888
CL4,NL,Cleveland,Spiders,Cleveland Spiders,1889,1899
CL5,AA,Columbus,Colts,Columbus Colts,1883,1884
CL6,AA,Columbus,Colts,Columbus Colts,1889,1891
CLE,AL,Cleveland,Guardians,Cleveland Guardians,1901,2023
CLG,,Cleveland,Giants,Cleveland Giants,1928,1928
CLP,PL,Cleveland,Infants,Cleveland Infants,1890,1890
CN1,NL,Cincinnati,Reds,Cincinnati Reds,1876,1880
CN2,AA,Cincinnati,Reds,Cincinnati Reds,1882,1889
CN3,AA,Cincinnati,Kelly's Killers,Cincinnati Kelly's Killers,1891,1891
CN4,NL,Cincinnati,Stars,Cincinnati Stars,1880,1880
CNN,NN1,Cincinnati,Cubans,Cincinnati Cubans,1921,1921
CNU,UA,Cincinnati,Outlaw Reds,Cincinnati Outlaw Reds,1884,1884
COL,NL,Colorado,Rockies,Colorado Rockies,1993,2023
CUE,ECL,Cuban,Stars (East),Cuban Stars (East),1916,1929
CUH,,Cuban,House of David,Cuban House of David,1931,1931
CUP,EW,Cuban,Stars,Cuban Stars,1932,1932
CUS,,Cuban,Stars (Ind),Cuban Stars (Ind),1932,1937
CUW,NN1,Cuban,Stars (West),Cuban Stars (West),1906,1930
CV1,NN1,Cleveland,Tate Stars,Cleveland Tate Stars,1922,1922
CV2,NN1,Cleveland,Browns,Cleveland Browns,1924,1924
CV3,NN1,Cleveland,Elites,Cleveland Elites,1926,1926
CV4,NN1,Cleveland,Hornets,Cleveland Hornets,1927,1927
CV5,NN1,Cleveland,Tigers,Cleveland Tigers,1928,1928
CV6,NN1,Cleveland,Cubs,Cleveland Cubs,1931,1931
CV7,,Cleveland,Giants,Cleveland Giants,1933,1933
CV8,,Cleveland,Red Sox,Cleveland Red Sox,1934,1934
CV9,NAL,Cleveland,Bears,Cleveland Bears,1939,1940
CVB,NAL,Cleveland,Buckeyes,Cleveland Buckeyes,1943,1948
CVS,,Cleveland,Stars,Cleveland Stars,1932,1932
DAY,NN1,Dayton,Marcos,Dayton Marcos,1918,1926
